nama_produk,product_id,shop_id,terjual_bulanan,total_terjual,total_disukai,total_kunjungan,category_id,total_review,diskon,total_rating,star_seller,shopee_mall,supermarket,gratis_ongkir,kategori_1,kategori_2,foto_produk,tipe_toko,kota,harga,url,omzet,omzet_bulanan,rating,rate_5,rate_1,real_order_percentage,bad_product_indicator,marketplace,timestamp
Vera Nevada Emily Sepatu Loafers Brokat Wanita Shoes VN1141,8885955805,200269709,153,442,1776,31865,100532,203,68,"[203, 0, 1, 3, 26, 173]",True,False,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/0597a7c118b20f454ce833e9e774ad42_tn,Shopee Star Seller,Kota Jakarta Barat,160000,https://shopee.co.id/vera-nevada-emily-sepatu-loafers-brokat-wanita-shoes-vn1141-i.200269709.8885955805,70720000,24480000,4.8,173,0,0.4592760181,0,shopee,2021-10-22 0:00:00
Sepatu Fantovel Wanita Putih/Sepatu Perawat,8907837269,19753637,152,649,201,3477,100532,273,0,"[273, 0, 1, 1, 39, 232]",True,False,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/88b639393f5b86899c85f79e23282cf4_tn,Shopee Star Seller,Kab. Klaten,50000,https://shopee.co.id/sepatu-fantovel-wanita-putih-sepatu-perawat-i.19753637.8907837269,32450000,7600000,4.8,232,0,0.4206471495,0,shopee,2021-10-22 0:00:00
Fsb - LOLA Sepatu Flat Shoes Sol Tebal Wanita,647980922,2420767,150,15569,20714,14824,100532,8737,40,"[8713, 60, 64, 378, 1501, 6710]",True,False,False,True,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/4f4c0f9b5b57ba2fa892fd1ee6eb444f_tn,Shopee Star Seller,Kota Bogor,39900,https://shopee.co.id/fsb-lola-sepatu-flat-shoes-sol-tebal-wanita-i.2420767.647980922,621203100,5985000,4.7,6710,60,0.5611792665,0.006867345771,shopee,2021-10-22 0:00:00
Kalina Loafers - Sepatu Slip Wanita - BACA DESKRIPSI PRODUK,1770298678,14137920,150,551,7754,55620,100532,254,0,"[254, 0, 1, 1, 20, 232]",True,False,False,True,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/7e6d1409511aa6dd33da4d00620a351d_tn,Shopee Star Seller,Kota Bandung,225000,https://shopee.co.id/kalina-loafers-sepatu-slip-wanita-baca-deskripsi-produk-i.14137920.1770298678,123975000,33750000,4.9,232,0,0.4609800363,0,shopee,2021-10-22 0:00:00
Sepatu Loafer,10448146259,230575894,134,137,19,1220,100532,23,0,"[23, 0, 1, 2, 3, 17]",True,False,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/e459c2165bb62fca3b0684734a458d85_tn,Shopee Star Seller,Kab. Bogor,135000,https://shopee.co.id/sepatu-loafer-i.230575894.10448146259,18495000,18090000,4.6,17,0,0.1678832117,0,shopee,2021-10-22 0:00:00
RESTOCK!! [ORIGINAL] JOANNE Brokat Loafers Shoes Sepatu Wanita #JN521,10110849675,28915574,126,685,1753,17159,100532,265,58,"[265, 1, 0, 0, 22, 242]",True,False,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/0185ac80ab3c42a4cc82894a750fd4af_tn,Shopee Star Seller,Kota Tangerang,168000,https://shopee.co.id/restock-original-joanne-brokat-loafers-shoes-sepatu-wanita-jn521-i.28915574.10110849675,115080000,21168000,4.9,242,1,0.3868613139,0.003773584906,shopee,2021-10-22 0:00:00
RYX - CC Espadrilles Sepatu Loafers Casual Sehari-Hari - Ori Import,7058830396,7342296,105,849,1095,6128,100532,425,0,"[425, 0, 2, 7, 42, 374]",True,False,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/a21f23706ed46bc63fcbd466133eb59c_tn,Shopee Star Seller,Kota Jakarta Barat,139000,https://shopee.co.id/ryx-cc-espadrilles-sepatu-loafers-casual-sehari-hari-ori-import-i.7342296.7058830396,118011000,14595000,4.9,374,0,0.5005889282,0,shopee,2021-10-22 0:00:00
Embroidery style KENZO lady canvas shoes flat shoes casual shoes,11447004790,235829491,98,152,551,15625,100532,14,0,"[14, 0, 0, 2, 2, 10]",True,False,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/7fe5bfe72444ab970ca4009d5e7a4ea5_tn,Shopee Star Seller,Kota Tangerang,660000,https://shopee.co.id/embroidery-style-kenzo-lady-canvas-shoes-flat-shoes-casual-shoes-i.235829491.11447004790,100320000,64680000,4.6,10,0,0.09210526316,0,shopee,2021-10-22 0:00:00
Sepatu Pantofel Sallyra Sepatu Pantofel wanita formal perawat Hitam/Putih,8125493251,237766741,96,351,214,3155,100532,176,0,"[175, 0, 1, 6, 12, 156]",True,False,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/ce596b7a8664a338b7b834935738cd08_tn,Shopee Star Seller,Kota Depok,65000,https://shopee.co.id/sepatu-pantofel-sallyra-sepatu-pantofel-wanita-formal-perawat-hitam-putih-i.237766741.8125493251,22815000,6240000,4.8,156,0,0.5014245014,0,shopee,2021-10-22 0:00:00
Sepatu ZR-175 Leather Mule Loafers,7107528875,43601608,88,1036,2219,8789,100532,522,20,"[522, 0, 0, 4, 40, 478]",True,False,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/b82ccf12ec6bf8d7b634bfec553e4def_tn,Shopee Star Seller,Kota Jakarta Pusat,200000,https://shopee.co.id/sepatu-zr-175-leather-mule-loafers-i.43601608.7107528875,207200000,17600000,4.9,478,0,0.5038610039,0,shopee,2021-10-22 0:00:00
Pansus LH 03,10152501210,93918590,88,88,1,182,100532,2,0,"[2, 0, 0, 0, 1, 1]",True,False,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/20da3f58686b7815c9f0300ab63f30b7_tn,Shopee Star Seller,Kota Medan,56000,https://shopee.co.id/pansus-lh-03-i.93918590.10152501210,4928000,4928000,4.5,1,0,0.02272727273,0,shopee,2021-10-22 0:00:00
Sepatu Loafers Brokat Wanita Vera Nevada Emily VN1141,12902191077,98590906,86,145,186,4835,100532,51,68,"[51, 0, 0, 1, 3, 47]",True,False,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/fe8ce43dc3b960d2a100e7d978a8a6d0_tn,Shopee Star Seller,Kota Jakarta Barat,160000,https://shopee.co.id/sepatu-loafers-brokat-wanita-vera-nevada-emily-vn1141-i.98590906.12902191077,23200000,13760000,4.9,47,0,0.3517241379,0,shopee,2021-10-22 0:00:00
Sepatu Pantopel Kerja Wanita (hitam & putih ) Sepatu Formal Milton Sepatu Perawat Putih Kode MM,2072869198,92495254,84,183,215,4993,100532,87,0,"[87, 0, 1, 1, 9, 76]",True,False,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/7fe362d6a5e30bf7dd74be820c27a902_tn,Shopee Star Seller,Kab. Bekasi,60000,https://shopee.co.id/sepatu-pantopel-kerja-wanita-hitam-putih-sepatu-formal-milton-sepatu-perawat-putih-kode-mm-i.92495254.2072869198,10980000,5040000,4.8,76,0,0.4754098361,0,shopee,2021-10-22 0:00:00
Sepatu Flat Loafer Kulit Kerja Wanita (Rose & Lili),7421285271,218147107,78,1102,1162,7629,100532,619,30,"[619, 3, 3, 26, 77, 510]",True,False,False,True,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/de9abb1917796ecafc8fd94f20147a89_tn,Shopee Star Seller,Kota Mojokerto,59500,https://shopee.co.id/sepatu-flat-loafer-kulit-kerja-wanita-rose-lili-i.218147107.7421285271,65569000,4641000,4.8,510,3,0.5617059891,0.004846526656,shopee,2021-10-22 0:00:00
Gratica Sepatu Flat Rajut Wanita BG 01,9579253018,18934244,74,197,147,3605,100532,95,27,"[95, 0, 0, 1, 9, 85]",True,False,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/3473669f7ce9bc1f4833b11c401a2d05_tn,Shopee Star Seller,Kota Bogor,95000,https://shopee.co.id/gratica-sepatu-flat-rajut-wanita-bg-01-i.18934244.9579253018,18715000,7030000,4.9,85,0,0.4822335025,0,shopee,2021-10-22 0:00:00
SEPATU PASKIBRA WANITA  - SEPATU PASKIB WANITA - SEPATU PANTOFEL- WANITA PANTOPEL HITAM SIZE 31 - 41,7516338393,114020197,359,2425,1583,10799,100532,1282,0,"[1282, 3, 2, 15, 126, 1136]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/5dae8f5b5b85a00e6d02a7b484ca05a3_tn,Shopee Star Seller,Kota Jakarta Utara,44000,https://shopee.co.id/sepatu-paskibra-wanita-sepatu-paskib-wanita-sepatu-pantofel-wanita-pantopel-hitam-size-31-41-i.114020197.7516338393,106700000,15796000,4.9,1136,3,0.5286597938,0.002340093604,shopee,2021-10-22 0:00:00
Sepatu Pantofel Paskibra Wanita Kulit Asli,6836651383,54786086,331,1225,1259,14023,100532,658,0,"[658, 1, 1, 11, 60, 585]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/ae393b056bce7fa6e4babe054f7fc35d_tn,Shopee Star Seller,Kota Bandung,120000,https://shopee.co.id/sepatu-pantofel-paskibra-wanita-kulit-asli-i.54786086.6836651383,147000000,39720000,4.9,585,1,0.5371428571,0.001519756839,shopee,2021-10-22 0:00:00
HUJI SANDAL BLACK BY UNICHE,9272315255,475245658,216,1161,4236,52103,100532,597,10,"[597, 5, 5, 25, 96, 466]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/bbfbeb5564c343a8aac8c10a5fe17ced_tn,Shopee Star Seller,Kota Surabaya,76500,https://shopee.co.id/huji-sandal-black-by-uniche-i.475245658.9272315255,88816500,16524000,4.7,466,5,0.5142118863,0.00837520938,shopee,2021-10-22 0:00:00
BAREL lad sepatu pantopel kerja wanita sepatu formal wanita pantofel sepatu kantor wanita,10909399657,421959308,179,319,338,10099,100532,187,71,"[187, 0, 1, 1, 26, 159]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/65fc27e7e3e2d7efbe7ac728c298acf0_tn,Shopee Star Seller,Kota Bandung,89000,https://shopee.co.id/barel-lad-sepatu-pantopel-kerja-wanita-sepatu-formal-wanita-pantofel-sepatu-kantor-wanita-i.421959308.10909399657,28391000,15931000,4.8,159,0,0.5862068966,0,shopee,2021-10-22 0:00:00
[ Import Design ] Sepatu Wanita Docmart Hitam Sepatu Oxford Wanita Import Premium Quality ID136,11633316904,79389888,174,230,1299,20793,100532,108,9,"[108, 0, 0, 2, 14, 92]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/23a10b3d9e1adcd10970ebf9e99ce720_tn,Shopee Star Seller,Kota Jakarta Utara,162000,https://shopee.co.id/import-design-sepatu-wanita-docmart-hitam-sepatu-oxford-wanita-import-premium-quality-id136-i.79389888.11633316904,37260000,28188000,4.8,92,0,0.4695652174,0,shopee,2021-10-22 0:00:00
Kano style Fashion Wanita PU Striped Leather Casual Lace-up Sneakers,8717413627,347542887,123,624,955,10845,100532,334,71,"[334, 1, 2, 9, 66, 256]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/f384394cda1d6748856f8c1af128c9ed_tn,Shopee Star Seller,Kota Jakarta Pusat,120900,https://shopee.co.id/kano-style-fashion-wanita-pu-striped-leather-casual-lace-up-sneakers-i.347542887.8717413627,75441600,14870700,4.7,256,1,0.5352564103,0.002994011976,shopee,2021-10-22 0:00:00
Sepatu pantofel wanita kickers kulit asli original fantofel elastis slip on formal kerja kantor COD,8505898231,305128720,118,417,335,6389,100532,252,25,"[252, 0, 2, 6, 35, 209]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/b821420d2e1eae276f240a427d18a91e_tn,Shopee Star Seller,Kab. Mojokerto,89950,https://shopee.co.id/sepatu-pantofel-wanita-kickers-kulit-asli-original-fantofel-elastis-slip-on-formal-kerja-kantor-cod-i.305128720.8505898231,37509150,10614100,4.8,209,0,0.6043165468,0,shopee,2021-10-22 0:00:00
Sepatu Wanita Lace-up GRS-750#1 Sneakers Import Wanita Sepatu Korea 2020,6857473315,92749681,112,1042,1422,9298,100532,509,0,"[509, 4, 5, 20, 60, 420]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/519d7e724a2ed993e786c7811bdc8f7b_tn,Shopee Star Seller,Kab. Sidoarjo,80000,https://shopee.co.id/sepatu-wanita-lace-up-grs-750-1-sneakers-import-wanita-sepatu-korea-2020-i.92749681.6857473315,83360000,8960000,4.7,420,4,0.4884836852,0.007858546169,shopee,2021-10-22 0:00:00
☀ REV STORE ☀ Sepatu docmart Wanita - Sepatu casual Wanita Best Seller,1120162996,67360914,104,873,4967,10385,100532,544,0,"[544, 1, 2, 8, 50, 483]",True,False,False,True,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/dd06b165bf67ecb9d889648ba9af2c92_tn,Shopee Star Seller,Kota Bandung,125000,https://shopee.co.id/☀-rev-store-☀-sepatu-docmart-wanita-sepatu-casual-wanita-best-seller-i.67360914.1120162996,109125000,13000000,4.9,483,1,0.6231386025,0.001838235294,shopee,2021-10-22 0:00:00
Sepatu Sneakers Wanita Denim Terbaru Wanita Casual Import,9588508062,502266379,100,100,3,51,100532,1,0,"[1, 0, 0, 0, 0, 1]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/5008b7c8b231c5d34b9ecfe2bc6f5c35_tn,Shopee Star Seller,Kab. Bogor,50000,https://shopee.co.id/sepatu-sneakers-wanita-denim-terbaru-wanita-casual-import-i.502266379.9588508062,5000000,5000000,5,1,0,0.01,0,shopee,2021-10-22 0:00:00
SEPATU PANTOFEL D20 3 wanita termurah kantor feminim karir hak cewek terlaris,4457447222,88506493,89,700,424,3861,100532,369,0,"[369, 0, 1, 3, 47, 318]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/457021029517c4d3896642e7bc78de56_tn,Shopee Star Seller,Kota Surakarta (Solo),50100,https://shopee.co.id/sepatu-pantofel-d20-3-wanita-termurah-kantor-feminim-karir-hak-cewek-terlaris-i.88506493.4457447222,35070000,4458900,4.8,318,0,0.5271428571,0,shopee,2021-10-22 0:00:00
"Sepatu Sekolah Ando Zora Size 33-40 (Hitam-Putih,Hitam-Pink,Hitam-Hitam)",2581288299,88201654,78,476,282,4046,100532,272,0,"[272, 1, 0, 4, 22, 245]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/83cc119a576e124f7b7971bb629045a2_tn,Shopee Star Seller,Kab. Demak,99999,https://shopee.co.id/sepatu-sekolah-ando-zora-size-33-40-hitam-putih-hitam-pink-hitam-hitam-i.88201654.2581288299,47599524,7799922,4.9,245,1,0.5714285714,0.003676470588,shopee,2021-10-22 0:00:00
THEON DOKMART - Sepatu wanita/ Docmart wanita,4810990195,1006180,72,691,5631,14439,100532,466,0,"[466, 0, 0, 3, 22, 441]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/1343c6c31546b31692a8b64f4943b53f_tn,Shopee Star Seller,Kab. Bandung Barat,200000,https://shopee.co.id/theon-dokmart-sepatu-wanita-docmart-wanita-i.1006180.4810990195,138200000,14400000,4.9,441,0,0.6743849493,0,shopee,2021-10-22 0:00:00
KAIN OXFORD / OXFORD SARIWARNA / KAIN OXFORD [ TERMURAH ],4620699070,210252465,64,4159,874,535,100532,294,0,"[294, 2, 4, 3, 23, 262]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/e8b0e3c53eaac23d5cb9b410b417c0ba_tn,Shopee Star Seller,Kota Surakarta (Solo),12000,https://shopee.co.id/kain-oxford-oxford-sariwarna-kain-oxford-termurah-i.210252465.4620699070,49908000,768000,4.8,262,2,0.07069006973,0.006802721088,shopee,2021-10-22 0:00:00
Sneakers Wanita Sepatu Lace-Up Pelatih Bernapas,3715464774,92749681,58,287,233,2795,100532,130,0,"[130, 1, 1, 3, 17, 108]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/5f08ba996680067bb9cc43b615e44aff_tn,Shopee Star Seller,Kab. Sidoarjo,79000,https://shopee.co.id/sneakers-wanita-sepatu-lace-up-pelatih-bernapas-i.92749681.3715464774,22673000,4582000,4.8,108,1,0.4529616725,0.007692307692,shopee,2021-10-22 0:00:00
ZUFAR - Jane Glossy Pentopel Wanita / Sepatu Wanita / Sepatu Kerja Wanita/EVERLASTING HEELS,6209264450,4367734,56,863,697,3185,100532,429,32,"[429, 8, 11, 33, 85, 292]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/1baa17b8a57075cfa4ec02f1da49ded4_tn,Shopee Star Seller,Kota Bogor,68500,https://shopee.co.id/zufar-jane-glossy-pentopel-wanita-sepatu-wanita-sepatu-kerja-wanita-everlasting-heels-i.4367734.6209264450,59115500,3836000,4.5,292,8,0.4971031286,0.01864801865,shopee,2021-10-22 0:00:00
Collin - Sepatu Jelly Wanita Formal Shoes Kerja Kantor Hak 3.5 cm - B71-4,4884817870,136046498,53,183,161,4058,100532,99,72,"[99, 1, 1, 12, 9, 76]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/48f4e7600b8fa432caa10f026baaa396_tn,Shopee Star Seller,Kota Jakarta Utara,24990,https://shopee.co.id/collin-sepatu-jelly-wanita-formal-shoes-kerja-kantor-hak-3-5-cm-b71-4-i.136046498.4884817870,4573170,1324470,4.6,76,1,0.5409836066,0.0101010101,shopee,2021-10-22 0:00:00
Sun-KEZIA Sepatu Formal Import Wanita L561,3538056640,20074576,51,1467,564,1678,100532,819,8,"[819, 6, 4, 27, 97, 685]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/95a7bb09590ffbc3f6f28930603ae74a_tn,Shopee Star Seller,Kota Bogor,26999,https://shopee.co.id/sun-kezia-sepatu-formal-import-wanita-l561-i.20074576.3538056640,39607533,1376949,4.8,685,6,0.5582822086,0.007326007326,shopee,2021-10-22 0:00:00
DREEYAShoes Sepatu Pantofel Wanita Sekolah Hak 3Cm Hitam,12905558551,530286170,49,70,33,1494,100532,37,9,"[37, 0, 0, 0, 3, 34]",True,False,False,True,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/590dbc5977fb2e72f526559b1195e95d_tn,Shopee Star Seller,Kota Mojokerto,29000,https://shopee.co.id/dreeyashoes-sepatu-pantofel-wanita-sekolah-hak-3cm-hitam-i.530286170.12905558551,2030000,1421000,4.9,34,0,0.5285714286,0,shopee,2021-10-22 0:00:00
Sepatu Formal Casual Kerja Kantor Porto BTS-1 Perempuan / Wanita / Cewek Gaya Korea Kekinian Style,3585105740,289717068,48,413,148,2213,100532,232,0,"[232, 0, 0, 0, 11, 221]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/aea4771745d795d0ea9f2393806245ea_tn,Shopee Star Seller,Kota Cirebon,32500,https://shopee.co.id/sepatu-formal-casual-kerja-kantor-porto-bts-1-perempuan-wanita-cewek-gaya-korea-kekinian-style-i.289717068.3585105740,13422500,1560000,5,221,0,0.5617433414,0,shopee,2021-10-22 0:00:00
SEPATU KARET WANITA FORMAL UNTUK KERJA / YUMAIDA  HITAM POLOS. (Evimustikaaa.),7032466385,230246250,47,1008,139,1122,100532,405,0,"[405, 1, 1, 5, 32, 366]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/b343cbecfad0bf07528c1cc5c0df3c87_tn,Shopee Star Seller,Kota Jakarta Pusat,15000,https://shopee.co.id/sepatu-karet-wanita-formal-untuk-kerja-yumaida-hitam-polos-evimustikaaa-i.230246250.7032466385,15120000,705000,4.9,366,1,0.4017857143,0.002469135802,shopee,2021-10-22 0:00:00
Sepatu pantofel wanita putih akper kulit sepatu perawat putih,5911562881,210454685,47,192,214,1587,100532,103,20,"[103, 1, 1, 1, 11, 89]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/8c17a7236374167b01c5ff4abe7a1ba6_tn,Shopee Star Seller,Kota Bandung,120000,https://shopee.co.id/sepatu-pantofel-wanita-putih-akper-kulit-sepatu-perawat-putih-i.210454685.5911562881,23040000,5640000,4.8,89,1,0.5364583333,0.009708737864,shopee,2021-10-22 0:00:00
Sepatu Pantofel Karet Wanita crystalia,2065180770,41121609,47,279,58,511,100532,92,10,"[92, 0, 0, 5, 9, 78]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/afb84f6111cb69c6f27d92d3ca8e08e7_tn,Shopee Star Seller,Kab. Bekasi,18000,https://shopee.co.id/sepatu-pantofel-karet-wanita-crystalia-i.41121609.2065180770,5022000,846000,4.8,78,0,0.3297491039,0,shopee,2021-10-22 0:00:00
Sepatu kickers - Sepatu Pantofel Wanita Cewe Formal Kerja Kantor Guru Pns Kulit Asli,2837995817,179353394,43,312,292,3030,100532,195,48,"[195, 1, 0, 3, 19, 172]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/4cf674b743ec4909cf7f7504cd3cf49b_tn,Shopee Star Seller,Kab. Sukoharjo,109200,https://shopee.co.id/sepatu-kickers-sepatu-pantofel-wanita-cewe-formal-kerja-kantor-guru-pns-kulit-asli-i.179353394.2837995817,34070400,4695600,4.9,172,1,0.625,0.005128205128,shopee,2021-10-22 0:00:00
[ ORIGINAL IMPORT ] Sepatu Docmart Wanita Sepatu Oxford Wanita Import Premium Quality SI 136,11633358428,17974276,38,52,210,4659,100532,23,11,"[23, 0, 0, 2, 4, 17]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/b7443f07bba3734b5a4b7e2598e4b5bc_tn,Shopee Star Seller,Kota Jakarta Utara,159000,https://shopee.co.id/original-import-sepatu-docmart-wanita-sepatu-oxford-wanita-import-premium-quality-si-136-i.17974276.11633358428,8268000,6042000,4.7,17,0,0.4423076923,0,shopee,2021-10-22 0:00:00
[PREMIUM LOKAL BRAND] KRONIKEL PROJECT // STORMI - Black Dove,4033195305,62342623,36,1365,6824,6310,100532,906,0,"[906, 4, 3, 6, 76, 817]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/211f64ee964b747ba0b6d980ef6c878b_tn,Shopee Star Seller,Kota Jakarta Utara,265000,https://shopee.co.id/premium-lokal-brand-kronikel-project-stormi-black-dove-i.62342623.4033195305,361725000,9540000,4.9,817,4,0.6637362637,0.004415011038,shopee,2021-10-22 0:00:00
Sepatu Loafers Wanita / Sepatu Oxford / Sepatu Kulit Sintetis Hitam Flat Wanita TINOCHI Rully,9050057659,49030279,36,237,2830,17149,100532,118,0,"[118, 1, 0, 1, 14, 102]",True,False,False,False,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/fdb2b346ac39da916a82a784fbdc53c8_tn,Shopee Star Seller,Kota Cimahi,215000,https://shopee.co.id/sepatu-loafers-wanita-sepatu-oxford-sepatu-kulit-sintetis-hitam-flat-wanita-tinochi-rully-i.49030279.9050057659,50955000,7740000,4.8,102,1,0.4978902954,0.008474576271,shopee,2021-10-22 0:00:00
Sandal Bahan EVA Karet Polos Wanita Slip On Korean Style Murah Empuk Anti Selip,5788142255,352325026,1698,10554,15423,91112,100532,3582,68,"[3582, 14, 11, 89, 410, 3058]",True,False,False,False,Sepatu Wanita,"Slip Ons, Mary Janes & Mules",https://cf.shopee.co.id/file/de12848a0195d59b904ef1b3999ac677_tn,Shopee Star Seller,Kab. Gresik,39499,https://shopee.co.id/sandal-bahan-eva-karet-polos-wanita-slip-on-korean-style-murah-empuk-anti-selip-i.352325026.5788142255,416872446,67069302,4.8,3058,14,0.3393973849,0.003908431044,shopee,2021-10-22 0:00:00
Sandal Wanita Terbaru Slip sandal slip on sandal wanita terbaru murah kekinian Sandal Teplek Wanita,9368073327,36991513,1562,3743,1388,47910,100532,1200,70,"[1200, 2, 11, 44, 164, 979]",True,False,False,False,Sepatu Wanita,"Slip Ons, Mary Janes & Mules",https://cf.shopee.co.id/file/cde39176d715a2481bc80953ebf2813e_tn,Shopee Star Seller,Kab. Bogor,13500,https://shopee.co.id/sandal-wanita-terbaru-slip-sandal-slip-on-sandal-wanita-terbaru-murah-kekinian-sandal-teplek-wanita-i.36991513.9368073327,50530500,21087000,4.8,979,2,0.3205984504,0.001666666667,shopee,2021-10-22 0:00:00
Karis Slip Sandal 2171 (size 35-39),6668637457,9073778,1109,7675,4514,55372,100532,3309,25,"[3309, 7, 8, 52, 324, 2918]",True,False,False,False,Sepatu Wanita,"Slip Ons, Mary Janes & Mules",https://cf.shopee.co.id/file/9a3fc21d9b065be75898b122f466506f_tn,Shopee Star Seller,Kota Depok,23250,https://shopee.co.id/karis-slip-sandal-2171-size-35-39-i.9073778.6668637457,178443750,25784250,4.9,2918,7,0.4311400651,0.002115442732,shopee,2021-10-22 0:00:00
[LOKAL] DOMMO - D5084 Sandal Slip Wanita Suede Etnik RM 03,5049142759,135900627,1096,47632,8260,17200,100532,15714,88,"[15714, 494, 444, 2115, 3197, 9464]",True,False,False,False,Sepatu Wanita,"Slip Ons, Mary Janes & Mules",https://cf.shopee.co.id/file/0bc950f98250c054d700b1d169e907fa_tn,Shopee Star Seller,Kota Jakarta Barat,7450,https://shopee.co.id/lokal-dommo-d5084-sandal-slip-wanita-suede-etnik-rm-03-i.135900627.5049142759,354858400,8165200,4.3,9464,494,0.329904266,0.03143693522,shopee,2021-10-22 0:00:00
DINDA SEPATU WANITA SLIPON ELENNA  BEST SELLER,6413631449,120286046,984,7610,11877,84699,100532,4132,30,"[4132, 17, 13, 160, 704, 3238]",True,False,False,False,Sepatu Wanita,"Slip Ons, Mary Janes & Mules",https://cf.shopee.co.id/file/fbefb144a156693bbe71f4628f54558a_tn,Shopee Star Seller,Kab. Bogor,37030,https://shopee.co.id/dinda-sepatu-wanita-slipon-elenna-best-seller-i.120286046.6413631449,281798300,36437520,4.7,3238,17,0.5429697766,0.004114230397,shopee,2021-10-22 0:00:00
SANDAL SLIP ON NIKKE BENASSI POLKA UNISEX,8815814666,21198708,897,4170,1950,27909,100532,1753,67,"[1753, 28, 22, 137, 278, 1288]",True,False,False,False,Sepatu Wanita,"Slip Ons, Mary Janes & Mules",https://cf.shopee.co.id/file/30c64ba60ae4ea737cf287f7f6a9bc07_tn,Shopee Star Seller,Kab. Bogor,16500,https://shopee.co.id/sandal-slip-on-nikke-benassi-polka-unisex-i.21198708.8815814666,68805000,14800500,4.6,1288,28,0.420383693,0.01597261837,shopee,2021-10-22 0:00:00
Sepatu Karet Wanita Sepatu Slip On ATT PSW 159,7953408474,308945895,847,4941,1815,23554,100532,2293,44,"[2293, 0, 2, 28, 197, 2066]",True,False,False,False,Sepatu Wanita,"Slip Ons, Mary Janes & Mules",https://cf.shopee.co.id/file/b287f2b9111214f8a6343ad77d2eafc1_tn,Shopee Star Seller,Kab. Karanganyar,28000,https://shopee.co.id/sepatu-karet-wanita-sepatu-slip-on-att-psw-159-i.308945895.7953408474,138348000,23716000,4.9,2066,0,0.464076098,0,shopee,2021-10-22 0:00:00
