,SKU,Harga,Jumlah_Penjualan,Halaman,GMV
16,Blouse Wanita Casual Korean Style Murah Import Lengan Panjang Ata HM333 Konichiwa Collar Pocket Top,72300,0,2,0
17,Totebag Konichiwa,34800,0,2,0
18,"Sendal konichiwa, sendal rubi, sepatu converse",148900,0,2,0
19,(terjangkau) Sandal Konichiwa Abstract Pop - Navy Blue - Women - 36,30000,0,2,0
20,Paket lensa minus - frame kacamata pria wanita konichiwa,135000,70,2,9450000
21,Konichiwa choco,165000,0,2,0
22,Buku Travelling : KONICHIWA JAPAN! - Buku tentang Jepang,185760,3,2,557280
23,Jacket Konichiwa,99000,0,2,0
24,Konichiwa Handuk Mandi Corak Ukuran 65 X 130 cm / Handuk Mandi Dewasa,33000,6,2,198000
25,Sandal konichiwa,34800,0,2,0
26,Piteku Baju Atasan Konichiwa,120000,1,2,120000
27,Jolalajola Kemeja Katun Konichiwa,30000,2,2,60000
28,Kaos distro CEWEKCOWOKBISA konichiwa ld 98cm kaos cewek kaos santai kaos cowok oblong,132000,83,2,10956000
29,KONICO kain Katun sprei Meteran Motif karakter MINIMALIS KONICHIWA Tabur Star Esra Grow Catra,40000,4,2,160000
30,KEMEJA KATUN KONICHIWA atasan wanita,80000,0,2,0
31,NEW!! Buku Traveling Best Seller Konichiwa Japan!,35500,0,2,0
32,Frame kacamata bulat konichiwa,35500,0,2,0
33,SALE Sandal konichiwa,83900,0,2,0
